name,score
" 'Office of Imperial Promotion',",-1
" 'Power Sliders',",0
" ""Cordo's death trooper squad"",",-1
" 'Sorgan Common House',",0
" 'Ruling Council',",0
" 'and Fact Correction',",0
" 'Unidentified family',",0
" 'Duro Interstellar Freight and Shipping',",0
" 'Defiance Flight Training Institute',",-1
" 'Tagge family',",0
" ""Fil's squad"",",1
" 'Imperial Press Corps',",-1
" 'Sullustan resistance',",1
" 'Old Mandalorians',",0
 'Malakili',0
"'Expansionary Defense Fleet',",0
" ""Nath Tensent's squadron"",",1
" 'Culoss',",0
" 'BSO 401.72',",0
" ""Q'anah's Marauders"",",0
" ""Strus clanBrana's mercenary grou"",",0
" 'Office of Acquisitions',",1
" 'Unit Aurek',",-1
" 'Closed',",0
" 'Substation Grimdock',",-1
" 'Domino Squad',",1
" 'Hondo Ohnaka',",1
" 'Imperial Academy of Mandalore',",0
" 'Theed Conservatory',",0
" ""Depa Billaba's second battalion"",",1
" 'Interstellar Thorilide Guild',",0
" 'Black Sun ruling council',",-1
" 'Fourth Division',",1
" '68th Legion',",-1
" ""Aunt Z's Tavern"",",1
" 'Alliance Starfighter Command',",1
" 'Exegol landing team',",1
" 'House Glorio',",1
" 'Sacred Order of Ramulus',",1
" 'Max Rebo Band',",0
" 'Kouhun',",0
" 'The Asteroid Belt',",0
" 'Coruscant Home Defense Fleet',",1
" 'Prasteen Braak',",0
" ""Skywalker's fleet"",",1
" 'Varluk Organization',",0
" ""Surat Nuat's gang"",",0
" ""Gideon's Imperial remnant"",",-1
" 'Sith Eternal army',",-1
" 'Republic Corps of Engineers',",1
" ""B1's B2-series super battle droid battalion"",",-1
" 'Cylo Directive',",-1
" 'Thyferran bacta cartel',",0
" 'Ranc gang',",-1
" 'Diplomatic Service',",1
" 'Veiled Sorority',",0
" 'Blood Monarchy',",0
" ""Emperor's Royal Guard"",",-1
" '71st GAV Battalion',",-1
" ""Tagge's mercenaries"",",0
" 'Otua Blank',",0
" 'Galactic Outdoor Survival School',",0
" 'Inspectorate',",-1
" ""Kylo Ren's personal squadron"",",-1
" 'Thugs of Thule',",0
" '21st Nova Corps',",1
" 'Canto Casino and Racetrack',",0
" 'Sienar Fleet Systems',",-1
" 'Crystal Cairn',",0
" 'Zeta Squadron',",-1
" 'Kaminoan government',",0
" ""Ramil's droid army"",",-1
" 'Hylobon Enforcers',",-1
" 'Republic Special Weapons Group',",1
" 'Sarlaccs',",0
" 'Hidden Hand',",1
" 'Blackguard',",0
" 'Canto Casino',",0
" 'Royal Naboo Security Forces',",0
" 'Pastoria kingdom',",0
" 'Golden Rocket Bank',",0
" 'Imperial Department of Military Research',",-1
" ""Iasento's tribe"",",1
" 'Graballa',",0
" 'Foot Patrol 7',",-1
" 'Republic Starfighter Corps',",1
" 'Ministry of Technology',",1
" 'Krim',",0
" 'Core Worlds educational reform committee',",1
" ""Reirin's clan"",",0
" 'Ordu Aspectu',",1
" 'Broken Horn Syndicate',",0
" 'Aloo family',",-1
" 'Bear Clan',",1
" 'Solo family',",1
" 'Defender Squadron One',",-1
" 'Garwian Unity',",0
" 'Fortress Vader Imperial garrison',",-1
" 'Shrikes',",1
" 'Ghost Company',",1
" 'Fardi clan',",0
" 'Strus cla',",0
" 'Foxtrot Group',",1
" 'Dalborg Mining',",0
" ""Phara's faction"",",1
" 'Trade FederationConfederacy of Independent System',",0
" ""Arane's partisans"",",1
" 'Batonn Defense Force',",-1
" ""Bounty Hunters' Guild"",",0
" 'Hyper-Communications Cartel',",1
" 'Ripper-Raptors',",0
" 'Aleena monarchy',",1
" 'Grakks',",0
" 'Byne Guild',",0
 'An insurrectionist cell',0
"'Freemakers',",1
" 'Sentient 7 and the Clankers',",0
" 'Grysk Hegemony',",0
" 'First Order military',",-1
" ""Jabba Desilijic Tiure's criminal empire "",",0
" 'Firaxa Syndicate',",0
" 'Inheritors of the Crystal',",0
" 'Royal Onderon Militia',",1
" ""Gradd's squadron"",",-1
" 'Marocsaa subclan',",-1
" 'Hundred and Twenty',",1
" 'Galactic Truth',",-1
" 'Signal Intelligence',",-1
" 'Aphra family',",-1
" ""Lourna Dee's Tempest"",",-1
" ""Galek's TIE fighter squadron"",",-1
" ""Riff Tamson's legion"",",-1
" 'Zendiat Collective',",0
" 'Death Star trooper officer corps',",-1
" 'Kendoh Gang',",0
" 'One-Eighty-Fourth Attack Battalion',",1
" 'FN Corps',",0
" 'Proam Avenue Citizen Assistance',",0
" 'Toydarian Ministry Council',",1
" 'Meteor Squadron',",1
" 'Big Settlement hydro farm',",0
" ""Ubrik Adelhard's Imperial remnant"",",-1
" 'Lady of Coins',",0
" 'Tarkin family',",-1
" ""The Ante's operation"",",0
" 'Refnu Corporation',",0
 'Tusken Raiders',0
