Name,Affiliations,Affiliation Score
Din_Djarins_mother,The Lucky Three,0.0
Dineé_Ellberger,"['Galactic Empire', 'Obsidian Squadron']",-1.0
Ding,"['Galactic Republic', '501st Legion']",1.0
Distant_Star,Figrin D'an and the Modal Nodes,0.0
Dita,Dok-Ondar's Den of Antiquities,0.0
Diva_Funquita,Strus clan,0.0
Diva_Shaliqua,"['Resistance', 'Gatherers']",1.0
Divis_Scaldz,[],
Divo_family,"['Galactic Empire', 'Imperial Officer Corps', 'First Order', 'Supreme Council', 'First Order army']",-1.0
Dixnet_Dat,"['Tagge family', 'Tagge Corporation', 'Galactic Empire']",-0.6666666666666666
Dizzy,Undervine,0.0
DJ,"['Galactic Empire', 'Imperial Senate']",-1.0
Djas_Puhr,Garbis family,0.0
Doallyn,Onderon rebels,1.0
Dobarn_Tren,Royal House of Naboo,0.0
Dobias_Cole-Truten,The Smuggler,1.0
Dobretz,"['House Serenno', 'Jedi Order', 'Hawkbat Clan', 'Thranta Clan', 'Jedi High Council', 'Galactic Republic', 'Numidian Prime strike team', 'Lost Twenty', 'Sith', 'Independent Movement for Self-Determination', 'Confederacy of Independent Systems']",0.2727272727272727
Doda_Bodonawieedo,"['Galactic Republic', ""Doom's unit""]",0.0
Dodd_Rancit,[],
Dodibin,[],
Dodson_Makraven,"['First Order', 'First Order Navy']",-1.0
Dogma,"['New Republic', 'Galactic Senate']",1.0
Doikk_Nats,Galactic Empire,-1.0
Dok-Ondar,"['Royal House of Naboo', 'Naboo Royal Handmaidens', 'Galactic Republic', 'Naboo delegation', 'Amidalans']",0.8
Dokar_Venas,[],
Dolin,"['Alliance to Restore the Republic', 'Rebel Alliance Starfighter Corps']",1.0
Dolo,"['Galactic Empire', ""Kimmund's unit""]",-1.0
Domaric_Quinn,Spectres,1.0
Domina_Tagge,[],
Domthro_Rus,[],
Domus_Renking,[],
Donith_Garbis,Jedi Order,1.0
Dono_(Onderonian),"['Galactic Empire', 'Imperial Officer Corps', 'Ace Squadron', 'Colossus', 'Resistance', 'Team Colossus', 'Jade Squadron']",0.42857142857142855
Donta_Gesset,"['Galactic Republic', '41st Elite Corps']",1.0
Dontin_Clydno,Blue Dragon,0.0
Dooku,"['Galactic Empire', 'Squadron Four']",-1.0
Doom,"['Galactic Republic', ""Leh'ahnyo Vas' unit""]",1.0
Doonium_Strike,Galactic Empire,-1.0
Doowan,Drakka's Diner,0.0
Dopheld_Mitaka,Unidentified pirate faction,0.0
Dor_Wieedo,"['Galactic Empire', ""Kimmund's unit""]",-1.0
Doraes_rathtar,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Dorin_Bell,"['New Republic', 'Corellian Engineering Corporation', 'Resistance', 'Exegol landing team']",0.75
Dormé,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Dormés_great-grandmother,Niima Outpost Militia,0.0
Dorovio_Bold,"['First Order', 'Warbird gang']",-0.5
Dorstren,Higher Skies Advocacy Group,0.0
Dorthu_Santim,Free Ryloth Movement,1.0
Dorwin_Corvax,[],
Doshanalawook,"['Chiss Ascendancy', 'Great Families']",0.0
Dothan,"['Alliance to Restore the Republic', 'Coruscant rebel cell']",1.0
Douglas_Sunvale,"['Galactic Empire', 'Sienar Fleet Systems']",-1.0
Doza_family,[],
Draa,[],
Dragon_head,Max Rebo Band,0.0
Draige,Visler Korda's faction,-1.0
Drak,[],
Drake,[],
Drakka,[],
Dral,"['Galactic Empire', 'Alliance to Restore the Republic']",0.0
Drav,[],
Drawd_Munbrin,"['Shadow Collective', 'Crimson Dawn']",-1.0
Dreanna_Conunda,"['Galactic Empire', 'Unit TI-23']",-1.0
Dreed,"['Galactic Empire', ""DT-F16's squad""]",-1.0
Drego,"['Galactic Empire', 'Imperial Intelligence']",-1.0
Drell,"['Confederacy of Independent Systems', 'Sullustan Home Guard', 'Bulwark flotilla']",0.0
Driller_MarDapp,"['Galactic Empire', 'Squadron Three']",-1.0
Drim,"['Galactic Empire', 'Imperial Starfighter Corps']",-1.0
Drix_Gil,[],
Droc_family,"['Royal House of Naboo', 'Naboo Royal Handmaidens', 'Galactic Republic']",0.6666666666666666
Drokkatta,"['Alliance to Restore the Republic', 'Phoenix Squadron']",1.0
Dron_Ryall,The Force,1.0
Droogan,[],
Droogans_grandfather,"['Galactic Empire', 'Imperial Military', 'Imperial Officer Corps']",-1.0
Droopy_McCool,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Drosk,Haxion Brood,0.0
Drua,[],
Druas_grandfather,Golden Rocket Bank,0.0
Druas_mother,Golden Rocket Bank,0.0
Drusil_Bephorin,[],
Drusil_Bephorins_husband,"['Galactic Empire', 'Imperial Military']",-1.0
Dryden_Vos,"['Galactic Empire', 'One Oh Third Task Force', 'Imperial Officer Corps']",-1.0
DT-5537,[],
DT-F16,"['Alliance to Restore the Republic', 'Support Services', 'Massassi Group']",1.0
DT-L21,Cadevon Family,0.0
Dua_Ningo,[],
Duchas_Cherroi,[],
Duchess_(TIE_striker_pilot),"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Dud_Bolt,Daa Corporation,0.0
Duja,"['Resistance', 'Exegol landing team']",1.0
Duke_(pilot),"['Galactic Empire', 'Alliance to Restore the Republic']",0.0
Dume_(Loth-wolf),[],
Duna_Hilaris,[],
Dunstig_Pterro,Royal House of Naboo,0.0
Dunum,"['Galactic Empire', 'Imperial Military']",-1.0
Dunya,Zerpen Industries,0.0
Durga,The Smuggler,1.0
Durl_and_Dekk,[],
Durl_and_Dekks_boss,[],
Durm_Bormo,Cloud City,0.0
Durpin,Pryce Mining,-1.0
Durril,Mon Cala monarchy,1.0
Durteel_Haza,"['Galactic Republic', 'Galactic Senate']",1.0
Dustil_Forell,Lars family,1.0
Duurgo_Cadevon,"['Galactic Republic', 'Tango Company']",1.0
Dvorad,[],
Dwindun,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Dyer,"['Resistance', 'Crimson Squadron']",1.0
Dylanto_Daa,"['Partisans', 'Cavern Angels']",1.0
Dynia_Reekeene,"['Galactic Empire', ""Imperial Navy's officer corps"", 'First Order', 'First Order Navy']",-1.0
Dyro_Felldor,"['Galactic Empire', 'Imperial Security Bureau', 'Imperial Officer Corps']",-1.0
Dyyl,"['Jedi Order', 'Galactic Republic']",1.0
Dznori_Xam,Mining complex,0.0
Earl_of_Vis,"[""Bail Organa's resistance movement"", 'Ibaar rebel network']",1.0
Earll,"['Jedi Order', 'Jedi High Council', 'Jedi assault team', 'Galactic Republic', 'Grand Army of the Republic', 'Church of the Ganthic Enlightenment']",1.0
Easel,Eeth Koth's family,1.0
Easy_Xiukhan,"['Jedi Order', 'Jedi High Council', 'Jedi assault team', 'Galactic Republic', 'Grand Army of the Republic', 'Church of the Ganthic Enlightenment']",1.0
Ebe_E._Endocott,[],
Ebenn_Q3_Baobab,[],
Ecclessis_Figg,Scyre,0.0
Eccos,Alderaan Flotilla,1.0
Ech-Char,"['Jedi Order', 'Galactic Empire', 'Inquisitorius']",-0.3333333333333333
Edcel_Bar_Gane,"['Resistance', 'Team Colossus']",1.0
Edern_Lars,[],
Edge,Krysiant Rheden's crew,1.0
Edmo_Ectacle,"['Royal House of Naboo', 'Naboo Royal Handmaidens', 'Galactic Republic', 'Amidalans']",0.75
Edmos_Khurgee,[],
Edon_Kappehl,"['Alliance to Restore the Republic', 'Gray Squadron']",1.0
Edrio,"['Galactic Empire', 'Imperial Navy', 'Imperial Officer Corps']",-1.0
Edrison_Peavey,"['Galactic Republic', 'Grand Army of the Republic']",1.0
Edwig,Pryce Mining,-1.0
Eekar_Oki,[],
Eekee,[],
Eesh_Fahm,[],
Eeth_Koth,"['Bespin Wing Guard', 'The Smuggler']",1.0
Eeth_Koths_daughter,Jedi Order,1.0
Eeth_Koths_family,"['Galactic Empire', ""Kimmund's unit""]",-1.0
Effor,Noble Court,0.0
Egdir,Noble Court,0.0
Egil,"['Vanto family', 'Vanto family shipping company', 'Galactic Empire', 'Royal Imperial Academy', 'Ninety-Sixth Task Force', '7th Fleet', 'Chiss Ascendancy', 'Chiss Expansionary Defense Fleet']",-0.75
Eglyn_Valmor,[],
Eighth_Brother,[],
Eila,"['Galactic Empire', ""Deena Lorn's fireteam""]",-1.0
Eilram,"['Galactic Empire', ""Imperial Navy's officer corps"", ""Ellian Zahra's assault group""]",-1.0
Eira_Tay,"['Resistance', 'Exegol landing team']",1.0
Eirtaé,"['New Republic', 'Precision air team', 'Resistance', 'Cobalt Squadron', 'Red Squadron']",1.0
Ejro,"['Royal House of Naboo', 'Naboo Royal Handmaidens', 'Galactic Republic']",0.6666666666666666
Ekelarc_Yong,"['New Republic', 'New Republic Starfighter Corps', 'Resistance', 'Resistance Starfighter Corps']",1.0
Ektol_Traz,[],
El-Les,"['Chiss Ascendancy', 'Expansionary Defense Fleet']",0.0
Elainye_Pryce,"['First Order', ""Elrik Vonreg's squadron"", 'First Order Special Forces']",-1.0
Elan_(Lurmen),"['Alliance to Restore the Republic', 'Red Squadron']",1.0
Elan_Mak,Jedi Order,1.0
Elan_SelSabagno,"['First Order', 'First Order Special Forces', 'First Order starfighter corps']",-1.0
Elayah_Mordu,"[""Sugi's bounty hunters"", ""Cad Bane's group"", 'Hutt Clan', ""Krayt's Claw"", ""Jas Emari's crew""]",0.0
Eldra_Kaitis,Graf family,1.0
Elebe,[],
Elee,"['Resistance', 'Resistance Starfighter Corps']",1.0
Elenzia,[],
Elenzias_brother,Endente's arms dealing group,0.0
Eli_N._Vanto,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Elis_Helrot,"['Galactic Empire', ""Imperial Navy's officer corps""]",-1.0
Elkan,"['Alliance to Restore the Republic', 'Galactic Empire']",0.0
Ella,Cloud-Riders,1.0
Ellian_Zahra,"['Galactic Empire', 'Imperial Military']",-1.0
Elliver_Olim,"['Resistance', 'Exegol landing team']",1.0
Ello_Asty,"['Galactic Republic', ""Obi-Wan Kenobi's taskforce""]",1.0
Ellé,"['Jedi Order', 'Galactic Republic']",1.0
Elna_Zibsara,"['Galactic Empire', 'Imperial Officer Corps', 'Imperial Navy', 'First Order', 'Supreme Council', 'Sith Eternal', 'Final Order']",-1.0
Elnick_Pye,"[""Masse Goskey's Arms Emporium and Explosives Mart"", ""Jabba Desilijic Tiure's criminal empire""]",-0.5
Elodalvumic,Bridger family,1.0
Elrik_Vonreg,"['Jedi Order', 'Jedi High Council']",1.0
Elyhek_Rue,[],
Elzar_Mann,[],
Ember_(charhound),Ergel's Bar,0.0
Ember_(pilot),"['First Order', 'First Order army']",-1.0
Embo,"['Galactic Empire', 'HoloNet News']",-0.5
Emil_Graf,Blythe family,1.0
EmimAi,[],
Enanan_Supa,"['Alliance to Restore the Republic', 'Alliance Military']",1.0
Enchantress,"['Galactic Republic', 'Republic Futures Program', ""Galen Erso's field team"", 'Zerpen Industries', 'Helical HyperCom', 'Galactic Empire', ""B'ankora division"", 'Project Celestial Power', 'Kyber crystal research team', 'Partisans', 'Alliance to Restore the Republic', 'Rogue One']",0.0
Endente,"['Galactic Empire', ""Emperor's Royal Guard""]",-1.0
Endicott,"['New Republic', 'Centrists', 'First Order']",0.0
Endo_Frant,Gallius Rax ,-1.0
Eneb_Ray,Free Ryloth Movement,1.0
Enfys_Nest,"['Alliance to Restore the Republic', 'Rebel Alliance Special Forces', 'Rogue One']",1.0
Engels,House Borgin,0.0
Engi_Golba,"['New Republic', 'Flare Squadron']",1.0
Engle,Jedi Order,1.0
Eno_Cordova,Shadow University,0.0
Enric_Pryde,"['Galactic Empire', 'Imperial Military', 'Imperial Officer Corps']",-1.0
Ephant_Mon,Galactic Empire,-1.0
Ephraim_Bridger,Ordu Aspectu,1.0
Ephru_Shinn,Tico family,1.0
Erci,[],
Erdan,Galactic Republic,1.0
Ergel,"['Shadow University', ""University of Bar'leth""]",-0.5
Erich_S._Datoo,"['Alliance to Restore the Republic', 'Pathfinders', 'Partisans']",1.0
Eridan_Wesyse,"['House of Organa', 'Alliance to Restore the Republic', 'Gold Squadron', 'Starlight Squadron', 'New Republic', 'New Republic Defense Fleet']",1.0
Erika_Blythe,"['Jedi Order', 'Jedi High Council', 'Jedi assault team', 'Galactic Republic']",1.0
Ern,"['Galactic Empire', 'Imperial Department of Military Research', 'Imperial Ruling Council', 'Alliance to Restore the Republic', '61st Mobile Infantry']",-0.2
Erskin_Semaj,Tech Masters,0.0
Erso_family,[],
Erstin_Deez,"['Divo family', 'New Republic', 'Hosnian Prime Academy of Law Enforcement']",0.3333333333333333
Erudo_Ro-Kiintor,[],
Esdo,[],
Eshgo,[],
Eskro_Casrich,"['Jedi Order', 'Galactic Empire', 'Alliance to Restore the Republic', 'Spectres', 'Gold Squadron']",0.6
Eson,Mon Cal,1.0
Essovin,[],
Estala_Maru,[],
Estat,[],
Estoc,Cloud-Riders,1.0
Estorn,[],
Eternal_Rur,"['New Republic', 'Hound Squadron']",1.0
Etta,Resistance,1.0
Etti_Express,[],
Eugroothwa,House of Organa,1.0
Eustacia_Okka,"['Galactic Empire', ""Imperial Navy's officer corps"", '204th Imperial Fighter Wing']",-1.0
Euwood_Gor,"['Corellian Security Forces', 'Galactic Empire', 'Imperial Security Bureau']",-0.6666666666666666
Evaan_Verlaine,"['Galactic Republic', 'Delegation of 2', '000', 'Galactic Empire', 'Imperial Senate']",0.0
Even_Piell,Pijali monarchy,0.0
Everi_Chalis,[],
Everson,Fardi clan,0.0
Evil_Mahjo,[],
Exantor_Divo,Fardi clan,0.0
Executioner_(bounty_hunter),[],
Exogorth_(Agoliba-Tu_system),[],
Eyvind,"['Alliance to Restore the Republic', 'Blue Squadron']",1.0
Ezra_Bridger,"['Argyus family', 'Galactic Republic', 'Senate Commandos', 'Confederacy of Independent Systems']",0.5
Faa-Char,[],
Faazah,"['Alliance to Restore the Republic', 'Rebel Alliance Special Forces', 'Rogue One']",1.0
Fadda-Rarb_Arda,Jedi Order,1.0
Faddaff_Davenspon,Resistance,1.0
Faddera_Rabar,[],
Faddey,[],
Fadime,Force wielders,1.0
Fadros_Angon,"['Galactic Empire', 'Chroman Labor Pits', 'Imperial Officer Corps', 'The Smuggler']",-0.5
Falber,Frozen Wampas,0.0
Falena,Kelen Biolabs,-1.0
Falshoi,Free Ryloth Movement,1.0
Falta,[],
Falthina_Sharest,"['First Order', 'First Order military']",-1.0
Fang_Zar,"['Galactic Republic', 'Galactic Senate', 'The Smuggler']",1.0
Fanry,"['First Order', 'Stormtrooper Corps']",-1.0
Faranas_Folly,Galactic Empire,-1.0
Fardi,[],
Fardi_clan,[],
Fardis_wife,"['Galactic Republic', 'Galactic Senate']",1.0
Farnay,[],
Farnays_mother,"['Mandalorian Protectors', 'Journeyman Protectors', 'Galactic Republic', 'Skull Squadron', 'Galactic Empire', 'Phoenix Cell', 'Clan Wren', 'Mandalorian resistance']",0.75
Farns_Monsbee,Hutt Clan,0.0
Faro_Argyus,"['Galactic Empire', ""Imperial Navy's officer corps"", 'Imperial Starfighter Corps', '7th Fleet']",-1.0
Faron_(Rodian),Nightbrothers,-1.0
Farsin_Kappehl,"[""Feresk Tssat's clan"", 'Alliance to Restore the Republic', 'New Republic', 'Vanguard Squadron']",0.75
Farzala_Tarabal,"['Galactic Empire', 'Imperial Starfighter Corps']",-1.0
Fasca_Tiradé,[],
Fassio_Ablund,"['Jedi Order', 'Galactic Republic', 'Grand Army of the Republic', ""Ferren Barr's disciples"", 'Mon Cala monarchy']",1.0
Fastid_Barancul_Karambola,"['Galactic Republic', 'Grand Army of the Republic', 'Galactic Empire', 'Imperial Army', 'Office of Imperial Promotion', 'Galactic Truth', 'and Fact Correction', 'Shadow Council']",-0.375
Father_(Mortis),Company 77,1.0
Fatulaine,Fylari,1.0
Fawn,[],
Fayet_Kelen,Hidden Hand,1.0
Faylin,[],
Faztoon,"['Nordoxicon Unlimited', 'Galactic Empire', 'Kyber crystal research team']",-0.6666666666666666
FB-0007,"['Jedi Order', 'Jedi assault team']",1.0
Fbinti_Fith,"['Shadow Collective', 'Pyke Syndicate']",-1.0
FE-1211,Figrin D'an and the Modal Nodes,0.0
Februs_Temmt,[],
Fel_Trech,"['Galactic Republic', ""Fil's squad""]",1.0
Feltipern_Trevagg,"['Galactic Empire', 'Imperial Navy', 'Imperial Officer Corps']",-1.0
Fema_Baab,[],
Femix,"['New Republic', 'New Republic scout service', 'Resistance', 'Cobalt Squadron']",1.0
Fenn_Rau,"['Galactic Republic', 'Republic Defense Coalition']",1.0
Fennec_Shand,"['House Valorum', 'Galactic Republic', 'Office of the Chancellor']",1.0
Fentaugh,"['First Order', 'Batch Eight', 'FN Corps', 'Resistance', '""Reb"" Squadron', 'Corellian Team One', 'Exegol landing team']",0.5714285714285714
Feral,"['Jedi Order', 'Galactic Republic']",1.0
Ferana,[],
Feresk_Tssat,[],
Feroph,[],
Ferpil_Wallaway,"['Galactic Empire', ""Imperial Navy's officer corps"", 'Death Squadron', 'Imperial Navy High Command']",-1.0
Ferren_Barr,"['Galactic Empire', 'Imperial Navy']",-1.0
Ferric_Obdur,"['Junior Academy of Applied Sciences', 'AppSci SaberCats']",-0.5
Ferrule,"['First Order', 'Elite Praetorian Guard']",-1.0
Fess,[],
Festering_Shaman,[],
Fetya,"['Galactic Republic', 'Delta Squad']",1.0
Fey_Zara,"['First Order', 'Omicron Formation']",-1.0
Feyn_Vann,"['Galactic Empire', 'Theta Squadron']",-0.5
Fi-Ek_Sirch,Flanx's flock,1.0
Fife,[],
Figrin_Dan,"['Galactic Republic', '327th Star Corps']",1.0
Fikk,Haxion Brood,0.0
Fil,"['Confederacy of Independent Systems', 'Confederacy military']",0.5
Filia_Rossi,Flanx's flock,1.0
Filin,Flanx's flock,1.0
Finch_Dallow,Flestic Crupp's gang,0.0
Finial_Bright,Bright Tree tribe,1.0
Finis_Valorum,Office of Acquisitions,1.0
Finn,[],
Finn_Ertay,Flanx's flock,1.0
Fiona,Drahgor III fuel refinery,0.0
Fionn_Tucat,"['Galactic Empire', 'Imperial Navy']",-1.0
Fira_Bon,[],
Firmus_Piett,"['Son-tuul Pride', ""Chelli Lona Aphra's crew""]",-0.5
Firmus_Pietts_nephew,"['First Order', 'First Order military']",-1.0
Firmus_Rennet,"['First Order', 'FN Corps']",-0.5
First_Guard,"['First Order', 'FN Corps']",-0.5
Fissol,"['First Order', 'FN Corps']",-0.5
Fitz,"['First Order', 'FN Corps']",-0.5
Fixer,"['First Order', 'FN Corps']",-0.5
FL-6198,"['First Order', 'FN Corps']",-0.5
Flameskull,"['First Order', 'FN Corps']",-0.5
Flanx,"['First Order', 'FN Corps']",-0.5
Flanxs_flock,"['First Order', 'FN Corps']",-0.5
Flash,"['First Order', 'FN Corps']",-0.5
Flatakk,"['First Order', 'FN Corps']",-0.5
Flebek,"['First Order', 'FN Corps']",-0.5
Fleck,"['First Order', 'FN Corps']",-0.5
Fleez,"['First Order', 'FN Corps']",-0.5
Flestic_Crupp,"['First Order', 'FN Corps']",-0.5
Flitchee,"['First Order', 'FN Corps']",-0.5
Flitta,"['First Order', 'FN Corps']",-0.5
Flix,[],
Flixs_mother,Galactic Empire,-1.0
Flobb,[],
Floog,Gully's,0.0
Florn_(individual),[],
Florx_Biggles,"['Galactic Empire', 'Hynestian royal family']",-1.0
Flufto,Hynestian royal family,-1.0
FM-0676,"['First Order', 'Company 77', 'Resistance']",0.3333333333333333
FN-0606,[],
FN-0878,[],
FN-1044,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
FN-1226,"['Resistance', 'Resistance navy']",1.0
FN-1728,Jabba Desilijic Tiure's criminal empire,-1.0
FN-1824,"['Galactic Empire', '204th Imperial Fighter Wing']",-1.0
FN-1971,"['New Republic', 'New Republic Pilots Commission']",1.0
FN-2000,Garwian Unity,0.0
FN-2003,"['First Order', 'Steadfast battlegroup', 'Supreme Council']",-1.0
FN-2198,[],
FN-2199,[],
FN-2802,Freerago's Satellite Diner and Motel,0.0
FN-3156,Nightbrothers,-1.0
FN-3181,"['Alliance to Restore the Republic', 'Pathfinders']",1.0
FN-3761,Ace Squadron,1.0
FN-417,"['Alliance to Restore the Republic', 'Starlight Squadron']",1.0
FN-9330,"['Junior Academy of Applied Sciences', 'AppSci SaberCats']",-0.5
Fodesinbeed_Annodue,Galactic Empire,-1.0
Fondana_Tiree,[],
Fong_Do,[],
Fontis,Galactic Empire,-1.0
Forch_Gomou,[],
Forsythia_Jin,"['Galactic Empire', ""Deena's squad""]",-1.0
Forsythia_Jins_mother,Mining Guild,0.0
Forten,Alliance to Restore the Republic,1.0
Fortuna_family,[],
Forzaa,"['Prasteen Braak', 'Brotherhood of Wire and Bone']",0.0
Foslo,[],
Fossil,"['Galactic Empire', 'Imperial Officer Corps', 'Imperial Navy', 'Fortress Vader Imperial garrison']",-1.0
Fozec,"['New Republic', 'Galactic Senate']",1.0
Fra_Raida,"['Alliance to Restore the Republic', '61st Mobile Infantry']",1.0
Frandu,"['New Republic', ""Jom Barell's unit""]",1.0
Frangelic,"['Alliance to Restore the Republic', 'Massassi Group', 'Rebel Honor Guard', 'Alderaanian consular security']",1.0
Frantis_Griss,"['First Order', ""Galek's TIE fighter squadron""]",-1.0
Frapsen,"['Galactic Republic', 'Republic Futures Program', ""Galen Erso's field team"", 'Zerpen Industries', 'Helical HyperCom', 'Galactic Empire', 'Tarkin Initiative', 'Alliance to Restore the Republic']",0.0
Frax,Erso family,1.0
Freerago,Erso family,1.0
Freff,"['Galactic Empire', 'Imperial Senate']",-1.0
Frell,"['Galactic Republic', '327th Star Corps']",1.0
Freya_Fenris,Otoh Gunga,1.0
Freyta_Smyth,[],
Frid_Kelio,[],
Frobb,Galactic Empire,-1.0
Frog_Lady,"['Second-wave', 'Kyrell family']",0.0
Frog_Man,Chrono,0.0
Fruun,The Smuggler,1.0
Fryoto,"['Spanjaf family', 'Garel City cell']",0.5
FS-451,"['Resistance', 'Exegol landing team']",1.0
Fugas_Fandita,"['Galactic Empire', ""Imperial Navy's officer corps"", 'Squadron Five']",-1.0
Fumo,Galactic Republic,1.0
Furlac,[],
Fyzen_Gor,Strus cla,0.0
Gkolu,"['Takodana Castle', 'Resistance']",1.0
Gable_Karius,[],
Gadde_Neshurrion,"['Jedi Order', 'Unidentified Clan', ""Preigo's Traveling World of Wonder"", 'Animal Instincts']",0.5
Gadren,[],
Gaheeabee,"['Shadow Collective', 'Mandalorian super commandos', 'Galactic Empire', 'Imperial Super Commando']",-0.75
Gale_Torg,"['Lasan High Honor Guard', 'Alliance to Restore the Republic', 'Spectres', 'Alliance High Command']",1.0
Galek,[],
Galen_Walton_Erso,Hutt Clan,0.0
Galen_Walton_Ersos_father,"['Galactic Empire', 'Squadron Three']",-1.0
Galen_Walton_Ersos_mother,"['Various', ""Garindan ezz Zavor's clan"", 'Galactic Empire']",-0.6666666666666666
Gall_Trayvis,Galactic Empire ,-1.0
Galle,Garindan ezz Zavor's clan,-1.0
Gallo,Garindan ezz Zavor's clan,-1.0
Galus_Vez,"['Galactic Empire', 'Squadron Four']",-1.0
Gammit_Chond,[],
Gamut_Key,"['Galactic Empire', 'Imperial Academy', ""Imperial Navy's officer corps"", 'Squadron Three']",-1.0
Ganaire_Kyrell,"['Alliance to Restore the Republic', 'Massassi Group']",1.0
Ganamey_Davloterra,"['Resistance', 'Resistance Starfighter Corps']",1.0
Ganarho,Garnac's hunting guil,-1.0
Gandr_Spanjaf,[],
Gandris_Dyun,[],
Ganem_Kahi,"['Galactic Empire', 'Imperial Security Bureau', 'Imperial Navy', 'Imperial Officer Corps']",-1.0
Ganem_Kahis_father,Rockhawkers,0.0
Ganem_Kahis_grandmother,[],
Ganjira_Rell,"['Alliance to Restore the Republic', 'Riot Squadron']",1.0
Gannis_Ducain,Jabba Desilijic Tiure's criminal empire,-1.0
Gannory,[],
Ganodi,"['Virujansi Rarified Air Cavalry', 'Alliance to Restore the Republic', 'Red Squadron']",1.0
Gar_(human),[],
Gar_Saxon,Jabba Desilijic Tiure's criminal empire,-1.0
Garazeb_Orrelios,[],
Garazeb_Orrelioss_grandmother,[],
Gardulla_Besadii_the_Elder,"['Galactic Republic', 'Republic Starfighter Corps']",1.0
Gargovik,"['Galactic Republic', '212th Attack Battalion']",1.0
Garindan_ezz_Zavor,[],
Garindan_ezz_Zavors_clan,[],
Garindan_ezz_Zavors_daughter,[],
Garindan_ezz_Zavors_wife,Cloud-Riders,1.0
Garl_Lykan,"['Galactic Republic', 'Galactic Senate']",1.0
Garma,Spice Runners of Kijimi,0.0
Garmen_Naadra,"['First Order', 'Reform Office']",-0.5
Garn_Stewer,"['Resistance', 'Resistance navy']",1.0
"Garn_Stewer,_Jr.",Byne Guild,0.0
Garnac,[],
Garouf_Lafoe,[],
Garri,Spice Runners of Kijimi,0.0
Garrick_Versio,[],
Garro,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Garsa,Ivax Syndicate ,0.0
Garthun,Jabba Desilijic Tiure's criminal empire,-1.0
Gartogg,"['Galactic Empire', ""Imperial Navy's officer corps""]",-1.0
Garudda,Harra the Hutt,0.0
Garven_Dreis,[],
Gasgano,[],
Gauron_Nas_Tal,"['Mon Cala monarchy', 'Mon Calamari Guard', 'Galactic Republic', 'Galactic Empire', 'Alliance to Restore the Republic', 'Alliance Fleet', 'Alliance High Command', 'New Republic', 'New Republic High Command', 'New Republic Defense Fleet', 'Resistance', 'Resistance High Command', 'Fleet Command']",0.7692307692307693
Gavra_Ubrento,"['Resistance', 'Resistance navy']",1.0
Gazwin,"['Galactic Republic', 'Delegation of 2', '000']",0.6666666666666666
GC-1000,"['Galactic Empire', 'Imperial Security Bureau', ""Gideon's Imperial remnant""]",-1.0
Gearshift,"['Galactic Empire', 'Royal Imperial Academy', 'Imperial Starfighter Corps', 'Inferno Squad', 'Dreamers', 'First Order', 'First Order military']",-0.7142857142857143
Geefar,[],
Geeska_Dotalo,Skraik's gang,0.0
Geezum,"['New Republic', 'Barma Battle Group']",1.0
Gelan_Yees,Jedi Order,1.0
Gem_Sirrom,Garnac's hunting guild,0.0
Gen_Tri,"['Galactic Empire', '224th Imperial Armored Division']",-1.0
Genial,"['Galactic Empire', 'Royal Imperial Academy', 'Imperial Starfighter Corps']",-1.0
Geno_Namit,"['Alliance to Restore the Republic', 'Blade Squadron', 'New Republic', 'Blade Squadron']",1.0
Geode,Entropian Hive Trading Council,0.0
Gersolik,Jabba's Palace,0.0
Gev_Hessan,Alliance to Restore the Republic,1.0
Gezlar,Son-tuul Pride,0.0
Gha_Nachkt,[],
Ghadi,"['Galactic Empire', 'First Order', 'Jinata Security']",-1.0
Ghador,[],
Ghana_Gleemort,[],
Gherant,Razorclaw Gang,0.0
Gherd,"[""Twi'lek Resistance"", 'Free Ryloth Movement']",1.0
Ghoel,"['Galactic Republic', 'Galactic Republic Navy']",1.0
Ghosla_Fular,[],
Gial_Ackbar,"['Tech Bay', 'First Order']",-0.5
Gibs_Nibbet,[],
Giddean_Danu,"['Massassi Group', 'Gold Squadron']",1.0
Gideon,"['Massassi Group', 'Gold Squadron']",1.0
Gideon_Hask,"['Galactic Republic', 'Gold Squadron']",1.0
Giggek,"['Galactic Republic', 'Galactic Republic Navy']",1.0
Gigi_(Gundark),"['Alliance to Restore the Republic', 'Gold Squadron']",1.0
Giginivek,Resistance,1.0
Giktoo_Nelmo,Free Ryloth Movement,1.0
Gilas,"['Galactic Empire', 'Imperial Officer Corps', 'Imperial Army']",-1.0
Gillen_Finders,[],
Gimm_(lieutenant),"['First Order', 'First Order Navy']",-1.0
Gina_Moonsong,"['Mykapo insurgents', 'Phoenix Cell', 'Iron Squadron', 'Alliance to Restore the Republic', 'Massassi Group']",0.8
Ginruda,[],
Giran,Surat Nuat's gang,0.0
Gita,House Serenno,0.0
